# scripts/production_scraper/master_list.txt
#
# Production scraper master address list — synced from KK's Obsidian:
#   docs/lot-ledger/Master Scraper List Updated 05_26_26.md
#
# Edits to THIS file take effect on the NEXT run start. Mid-run edits do
# NOT affect the current pass — the queue is snapshotted at startup.
#
# Spec: docs/propelio/PRODUCTION_SCRAPER_SPEC.md (v1.2 locked)

1570 SMITH CIR, COMBINE, TX
1265 BASSWOOD DR, WILMER, TX
802 WAYNELEE DR, LANCASTER, TX
505 IDA BESS DR, DESOTO, TX
201 ARMSTRONG DR, CEDAR HILL, TX
2507 ROLLING OAKS RIDGE, CEDAR HILL, TX
713 TREES DR, CEDAR HILL, TX
1323 THISTLEWOOD DR, DESOTO, TX
940 WORTHINGTON DR, DESOTO, TX
1268 PAYNE DR, LANCASTER, TX
1900 W WINTERGREEN RD, HUTCHINS, TX
1263 BALSAM RD, WILMER, TX
20 BUNCHE DR, Seagoville, TX
814 ELMO DR, SEAGOVILLE, TX
1433 MACY LN, DALLAS, TX
9746 LA BETT DR, DALLAS, TX
10299 S CENTRAL EXPY, DALLAS, TX
2822 LYOLA ST, DALLAS, TX
6530 MEADE ST, DALLAS, TX
6624 MARYIBEL CIR, DALLAS, TX
6816 CEDAR FOREST TRL, DALLAS, TX
4527 FRIARS LN, GRAND PRAIRIE, TX
2005 BUTTERFIELD TRL, GRAND PRAIRIE, TX
1 WINDING FOREST DR, GRAND PRAIRIE, TX
3302 W MOUNTAIN LN, GRAND PRAIRIE, TX
6833 TRAILBLAZER WAY, DALLAS, TX
4817 NUEVO LAREDO CT, DALLAS, TX
5620 MARBLEHEAD DR, DALLAS, TX
1474 AUTUMN LEAVES TRL, DALLAS, TX
4147 HAPPY CANYON DR, DALLAS, TX
2027 TEAGARDEN CT, DALLAS, TX
13408 SHORTLEAF DR, DALLAS, TX
2130 PEDIGREE LN, SEAGOVILLE, TX
4737 MONARCH DR, MESQUITE, TX
100 PINECONE PL, BALCH SPRINGS, TX
3509 HICKORY TREE RD, BALCH SPRINGS, TX
641 CEDARCLIFF DR, DALLAS, TX
551 ELLA AVE, DALLAS, TX
3914 VANDERVORT DR, DALLAS, TX
2526 FERNWOOD AVE, DALLAS, TX
2222 GLENFIELD AVE, DALLAS, TX
4660 WESTERN OAKS DR, DALLAS, TX
6968 TRUTH DR, DALLAS, TX
2033 VARSITY DR, GRAND PRAIRIE, TX
738 W CHURCH ST, GRAND PRAIRIE, TX
302 HENSLEY DR, GRAND PRAIRIE, TX
1019 N MOROCCO AVE, DALLAS, TX
919 N HARTSDALE AVE, DALLAS, TX
910 WOODLAWN AVE, DALLAS, TX
1323 LENWAY ST, DALLAS, TX
5305 DIMPLE JACKSON ST, DALLAS, TX
3111 ELVA AVE, DALLAS, TX
9504 CULBERSON ST, DALLAS, TX
626 W COLLEGE ST, MESQUITE, TX
419 CALAIS CT, SUNNYVALE, TX
406 SPOONBILL RD, SUNNYVALE, TX
825 GAGEWAY DR, MESQUITE, TX
3605 HILTON DR, MESQUITE, TX
9035 WESTGLEN DR, DALLAS, TX
6815 CLAYTON AVE, DALLAS, TX
5102 ALCOTT ST, DALLAS, TX
5028 STONELEIGH AVE, DALLAS, TX
1261 SLEEPY HOLLOW DR, DALLAS, TX
808 NATIONAL DR, IRVING, TX
401 WILSON ST, IRVING, TX
4107 ADMIRALITY WAY, IRVING, TX
4105 LOGAN ST, IRVING, TX
3800 FOX GLEN DR, IRVING, TX
3058 LANOUE DR, DALLAS, TX
5745 GLEN FALLS LN, DALLAS, TX
6957 WALLING LN, DALLAS, TX
12635 PROMENADE LN, DALLAS, TX
3615 UNIVERSITY DR, GARLAND, TX
510 CHURCHILL WAY, ROWLETT, TX
5814 MARK LN, ROWLETT, TX
6513 WILDHAVEN DR, ROWLETT, TX
856 MIMOSA DR, GARLAND, TX
713 COLGATE CT, GARLAND, TX
13123 MEANDERING WAY, DALLAS, TX
